features,accuracy,true_negative,false_positive,false_negative,true_positive,Cost
"['feature_1', 'feature_20', 'feature_34', 'feature_131']",0.798469388,309,57,22,4,1230
"['feature_1', 'feature_20', 'feature_34', 'feature_206']",0.81377551,313,53,20,6,1130
"['feature_1', 'feature_20', 'feature_34', 'feature_248']",0.823979592,315,51,18,8,1050
"['feature_1', 'feature_20', 'feature_34', 'feature_342']",0.816326531,315,51,21,5,1140
"['feature_1', 'feature_20', 'feature_34', 'feature_478']",0.806122449,312,54,22,4,1200
"['feature_1', 'feature_20', 'feature_34', 'feature_520']",0.841836735,321,45,17,9,960
"['feature_1', 'feature_20', 'feature_60', 'feature_122']",0.826530612,318,48,20,6,1080
"['feature_1', 'feature_20', 'feature_60', 'feature_131']",0.829081633,317,49,18,8,1030
"['feature_1', 'feature_20', 'feature_60', 'feature_206']",0.81377551,313,53,20,6,1130
"['feature_1', 'feature_20', 'feature_60', 'feature_248']",0.795918367,307,59,21,5,1220
"['feature_1', 'feature_20', 'feature_60', 'feature_342']",0.829081633,318,48,19,7,1050
"['feature_1', 'feature_20', 'feature_60', 'feature_478']",0.831632653,320,46,20,6,1060
"['feature_1', 'feature_20', 'feature_60', 'feature_520']",0.795918367,304,62,18,8,1160
"['feature_1', 'feature_20', 'feature_122', 'feature_131']",0.852040816,330,36,22,4,1020
"['feature_1', 'feature_20', 'feature_122', 'feature_206']",0.829081633,319,47,20,6,1070
"['feature_1', 'feature_20', 'feature_122', 'feature_248']",0.849489796,329,37,22,4,1030
"['feature_1', 'feature_20', 'feature_122', 'feature_342']",0.834183673,321,45,20,6,1050
"['feature_1', 'feature_20', 'feature_122', 'feature_478']",0.829081633,319,47,20,6,1070
"['feature_1', 'feature_20', 'feature_122', 'feature_520']",0.834183673,323,43,22,4,1090
"['feature_1', 'feature_20', 'feature_131', 'feature_206']",0.81122449,314,52,22,4,1180
"['feature_1', 'feature_20', 'feature_131', 'feature_248']",0.803571429,312,54,23,3,1230
"['feature_1', 'feature_20', 'feature_131', 'feature_342']",0.803571429,311,55,22,4,1210
"['feature_1', 'feature_20', 'feature_131', 'feature_478']",0.81377551,315,51,22,4,1170
"['feature_1', 'feature_20', 'feature_131', 'feature_520']",0.806122449,313,53,23,3,1220
"['feature_1', 'feature_20', 'feature_206', 'feature_248']",0.81122449,314,52,22,4,1180
"['feature_1', 'feature_20', 'feature_206', 'feature_342']",0.757653061,292,74,21,5,1370
